t,top_strip_signature,boundary_signature,center_signature,top_strip_deficit,boundary_deficit,center_deficit,transfer,top_edge_fraction
3.3000000000000003,0.00013104653831369227,0.0003262898820562086,0.0001568914368344404,0.9985372065094981,0.9948170032797377,0.9831210290728684,0.823135662752332,0.8924781571413359
3.4000000000000004,0.00011671727293306581,0.0002782077057308454,0.00012712576758004243,0.9986971554588726,0.9955807712538685,0.986323331735835,0.8237593030106386,0.8837354508441488
3.5,0.0001044985377185517,0.0002385654922150663,0.00010325494719726428,0.9988335458325822,0.9962104734724644,0.9888914443835181,0.824348066500624,0.8743614587563416
3.6,9.306154371933665e-05,0.00020576814856951812,8.421447922049927e-05,0.9989612101004695,0.9967314474097406,0.9909398895498271,0.8248972898402779,0.8642972462374319
3.7,8.356702297218096e-05,0.00017715123158152765,6.894592470726974e-05,0.9990671917106905,0.9971860167820977,0.9925825380775481,0.8254040748363165,0.8535503017024215
3.8000000000000003,7.503186563589217e-05,0.0001536279852061565,5.640551111541179e-05,0.9991624645256201,0.997559675039734,0.9939316829429531,0.8258672219303422,0.8421445780541983
3.9000000000000004,6.766787783448415e-05,0.0001324593374205392,4.63557020805681e-05,0.9992446642812081,0.9978959313506984,0.9950128792016205,0.8262867939495548,0.830009262782238
4.0,6.081450384646852e-05,0.00011645766840512746,3.821108731702019e-05,0.9993211643626803,0.9981501120733827,0.9958891074941287,0.8266638009959275,0.8171909178505197
4.1000000000000005,5.501847003084864e-05,0.00010125880668133746,3.153665672398737e-05,0.9993858619933489,0.9983915404927063,0.9966071678434252,0.8269998213435296,0.8036682721699113
4.2,4.9615019150099954e-05,8.810761660184487e-05,2.6190173536623492e-05,0.9994461774574299,0.9986004423888363,0.9971823626157004,0.827296815675591,0.7895026743763106
4.3,4.5021592006358325e-05,7.687193208607292e-05,2.180192940100315e-05,0.999497451114952,0.998778917172143,0.9976544664263401,0.8275571690205723,0.7746639161098551
4.4,4.08722055807261e-05,6.722365789028942e-05,1.8197745158246727e-05,0.9995437682136797,0.9989321765168636,0.9980422181244377,0.8277833542703541,0.75917430413435
4.5,3.728552455572843e-05,5.8604036120605954e-05,1.5285972164796015e-05,0.9995838041713127,0.9990690960899765,0.9983554776158063,0.8279778120655317,0.7431096121754759
4.6000000000000005,3.413101849504371e-05,5.1187187886895254e-05,1.2823547294991606e-05,0.9996190160204061,0.9991869100406505,0.998620394545795,0.8281434047622718,0.726382165763327
4.7,3.112554198440319e-05,4.5095903663443934e-05,1.0819722082730608e-05,0.9996525643424923,0.999283667886629,0.9988359735995868,0.8282827589950348,0.7091768247412873
4.800000000000001,2.828381881947872e-05,4.030312176576416e-05,9.166826553321518e-06,0.9996842847847179,0.9993597994929787,0.9990137983180634,0.8283981364675601,0.6914595306729941
4.9,2.579212955296291e-05,3.580363228266285e-05,7.841607748811944e-06,0.9997120980095945,0.9994312722554402,0.9991563703419082,0.8284736920416739,0.6732776555580753
5.0,2.3679766595153887e-05,3.165174120660277e-05,6.624427444586359e-06,0.9997356770436081,0.9994972235429717,0.999287319177502,0.8284536131402243,0.6536890917003281
5.1000000000000005,2.193658522823706e-05,2.8146225555238554e-05,5.640690554726912e-06,0.9997551351261268,0.9995529073907494,0.9993931532924729,0.8284354855270307,0.6337325445423682
5.2,1.9859683248408125e-05,2.5375341638104217e-05,4.818359450434555e-06,0.9997783183306249,0.9995969218792289,0.9994816227658991,0.8284190773361512,0.613441083869819
5.300000000000001,1.802816349170381e-05,2.2682981171853963e-05,4.127253217887325e-06,0.9997987624813237,0.999639689051102,0.9995559745740161,0.8284041954580448,0.5930114021460948
5.4,1.6478958220062644e-05,2.039340064955304e-05,3.6966119787251453e-06,0.9998160553256519,0.9996760582092968,0.9996023045783969,0.8283906993888235,0.5725228960067281
5.5,1.5231375286089657e-05,1.8383035348159245e-05,3.1379055018395143e-06,0.9998299813416929,0.9997079921347314,0.9996624123227738,0.8283784228971038,0.5520298995298798
5.6000000000000005,1.4111841979428034e-05,1.655878329937646e-05,2.749603410067526e-06,0.9998424780169539,0.9997369697184867,0.9997041873224181,0.8283672135194639,0.5315529505805074
5.7,1.3228806499315127e-05,1.4859264751216887e-05,2.44478176422696e-06,0.9998523348095775,0.9997639659557148,0.9997369811816746,0.8283569746419581,0.5111026803603955
5.800000000000001,1.2318777345922044e-05,1.3681045280995369e-05,2.2114379288520394e-06,0.9998624929162995,0.9997826815457032,0.999762085189215,0.8283476153647588,0.49093734474420603
5.9,1.1459685359352273e-05,1.2259741065228482e-05,2.0150950040703762e-06,0.9998720824421418,0.999805258448923,0.9997832084996137,0.8283390418839988,0.4709862804589071
6.0,1.0688905781400612e-05,1.1064119668899545e-05,1.792696033140049e-06,0.9998806861898161,0.9998242504622114,0.9998071350174677,0.828331189317564,0.45145374742317046
